"","X","Date","Month","Locality","Site","Bar","Station","Counter","Quadrat_ID","Live_Dead","Size","Count","Treatment","Location","Substation","Year"
"4399",4399,2010-07-08,"Jul","LC","O",8,"LCO8",NA,"20100708_LCO2_01_04","L",77.3,1,"control","A","LCO8A","2010"
"4400",4400,2010-07-08,"Jul","LC","O",8,"LCO8",NA,"20100708_LCO2_01_04","L",23.5,1,"control","A","LCO8A","2010"
"4401",4401,2010-07-08,"Jul","LC","O",8,"LCO8",NA,"20100708_LCO2_01_05","D",NA,0,"control","A","LCO8A","2010"
"4402",4402,2010-07-08,"Jul","LC","O",8,"LCO8",NA,"20100708_LCO2_01_05","L",NA,0,"control","A","LCO8A","2010"
"4403",4403,2010-07-08,"Jul","LC","O",8,"LCO8",NA,"20100708_LCO2_01_06","D",13.9,1,"control","A","LCO8A","2010"
"4404",4404,2010-07-08,"Jul","LC","O",8,"LCO8",NA,"20100708_LCO2_01_06","L",10.4,1,"control","A","LCO8A","2010"
"4405",4405,2010-07-08,"Jul","LC","O",8,"LCO8",NA,"20100708_LCO2_01_06","L",9,1,"control","A","LCO8A","2010"
"4406",4406,2010-07-08,"Jul","LC","O",8,"LCO8",NA,"20100708_LCO2_01_06","L",9.4,1,"control","A","LCO8A","2010"
"4407",4407,2010-07-08,"Jul","LC","O",8,"LCO8",NA,"20100708_LCO2_01_06","L",6,1,"control","A","LCO8A","2010"
"4408",4408,2010-07-08,"Jul","LC","O",8,"LCO8",NA,"20100708_LCO2_01_06","L",7.5,1,"control","A","LCO8A","2010"
"4409",4409,2010-07-08,"Jul","LC","O",8,"LCO8",NA,"20100708_LCO2_01_06","L",8.8,1,"control","A","LCO8A","2010"
"4410",4410,2010-07-08,"Jul","LC","O",8,"LCO8",NA,"20100708_LCO2_01_06","L",5.9,1,"control","A","LCO8A","2010"
"4411",4411,2010-07-08,"Jul","LC","O",8,"LCO8",NA,"20100708_LCO2_01_06","L",7.2,1,"control","A","LCO8A","2010"
"4412",4412,2010-07-08,"Jul","LC","O",8,"LCO8",NA,"20100708_LCO2_01_06","L",12.4,1,"control","A","LCO8A","2010"
"4413",4413,2010-07-08,"Jul","LC","O",8,"LCO8",NA,"20100708_LCO2_01_06","L",14.1,1,"control","A","LCO8A","2010"
"4414",4414,2010-07-08,"Jul","LC","O",8,"LCO8",NA,"20100708_LCO2_01_06","L",13.4,1,"control","A","LCO8A","2010"
"4415",4415,2010-07-08,"Jul","LC","O",8,"LCO8",NA,"20100708_LCO2_01_06","L",10.5,1,"control","A","LCO8A","2010"
"4416",4416,2010-07-08,"Jul","LC","O",8,"LCO8",NA,"20100708_LCO2_01_06","L",10.1,1,"control","A","LCO8A","2010"
"4417",4417,2010-07-08,"Jul","LC","O",8,"LCO8",NA,"20100708_LCO2_01_06","L",15.3,1,"control","A","LCO8A","2010"
"4418",4418,2010-07-08,"Jul","LC","O",8,"LCO8",NA,"20100708_LCO2_01_06","L",14.4,1,"control","A","LCO8A","2010"
"4419",4419,2010-07-08,"Jul","LC","O",8,"LCO8",NA,"20100708_LCO2_01_06","L",11,1,"control","A","LCO8A","2010"
"4420",4420,2010-07-08,"Jul","LC","O",8,"LCO8",NA,"20100708_LCO2_01_06","L",12.3,1,"control","A","LCO8A","2010"
"4421",4421,2010-07-08,"Jul","LC","O",8,"LCO8",NA,"20100708_LCO2_01_06","L",12.7,1,"control","A","LCO8A","2010"
"4422",4422,2010-07-08,"Jul","LC","O",8,"LCO8",NA,"20100708_LCO2_01_06","L",20.2,1,"control","A","LCO8A","2010"
"4423",4423,2010-07-08,"Jul","LC","O",8,"LCO8",NA,"20100708_LCO2_01_06","L",13,1,"control","A","LCO8A","2010"
"4424",4424,2010-07-08,"Jul","LC","O",8,"LCO8",NA,"20100708_LCO2_01_06","L",9.5,1,"control","A","LCO8A","2010"
"4425",4425,2010-07-08,"Jul","LC","O",8,"LCO8",NA,"20100708_LCO2_01_06","L",8,1,"control","A","LCO8A","2010"
"4426",4426,2010-07-08,"Jul","LC","O",8,"LCO8",NA,"20100708_LCO2_01_06","L",6.8,1,"control","A","LCO8A","2010"
"4427",4427,2010-07-08,"Jul","LC","O",8,"LCO8",NA,"20100708_LCO2_01_06","L",9.2,1,"control","A","LCO8A","2010"
"4428",4428,2010-07-08,"Jul","LC","O",8,"LCO8",NA,"20100708_LCO2_01_06","L",14.7,1,"control","A","LCO8A","2010"
"4429",4429,2010-07-08,"Jul","LC","O",8,"LCO8",NA,"20100708_LCO2_01_06","L",12.8,1,"control","A","LCO8A","2010"
"4430",4430,2010-07-08,"Jul","LC","O",8,"LCO8",NA,"20100708_LCO2_01_06","L",17,1,"control","A","LCO8A","2010"
"4431",4431,2010-07-08,"Jul","LC","O",8,"LCO8",NA,"20100708_LCO2_01_06","L",7.4,1,"control","A","LCO8A","2010"
"4432",4432,2010-07-08,"Jul","LC","O",8,"LCO8",NA,"20100708_LCO2_01_06","L",9.7,1,"control","A","LCO8A","2010"
"4433",4433,2010-07-08,"Jul","LC","O",8,"LCO8",NA,"20100708_LCO2_01_06","L",16,1,"control","A","LCO8A","2010"
"4434",4434,2010-07-08,"Jul","LC","O",8,"LCO8",NA,"20100708_LCO2_01_06","L",17.1,1,"control","A","LCO8A","2010"
"4435",4435,2010-07-08,"Jul","LC","O",8,"LCO8",NA,"20100708_LCO2_01_06","L",10.6,1,"control","A","LCO8A","2010"
"4436",4436,2010-07-08,"Jul","LC","O",8,"LCO8",NA,"20100708_LCO2_01_06","L",12.8,1,"control","A","LCO8A","2010"
"4437",4437,2010-07-08,"Jul","LC","O",8,"LCO8",NA,"20100708_LCO2_01_06","L",8.8,1,"control","A","LCO8A","2010"
"4438",4438,2010-07-08,"Jul","LC","O",8,"LCO8",NA,"20100708_LCO2_01_06","L",45.8,1,"control","A","LCO8A","2010"
"4439",4439,2010-07-08,"Jul","LC","O",8,"LCO8",NA,"20100708_LCO2_01_06","L",32.5,1,"control","A","LCO8A","2010"
"4440",4440,2010-07-08,"Jul","LC","O",8,"LCO8",NA,"20100708_LCO2_01_06","L",41.6,1,"control","A","LCO8A","2010"
"4441",4441,2010-07-08,"Jul","LC","O",8,"LCO8",NA,"20100708_LCO2_01_06","L",10.5,1,"control","A","LCO8A","2010"
"4442",4442,2010-07-08,"Jul","LC","O",8,"LCO8",NA,"20100708_LCO2_01_06","L",11.5,1,"control","A","LCO8A","2010"
"4443",4443,2010-07-08,"Jul","LC","O",8,"LCO8",NA,"20100708_LCO2_01_06","L",11.8,1,"control","A","LCO8A","2010"
"4444",4444,2010-07-08,"Jul","LC","O",8,"LCO8",NA,"20100708_LCO2_01_07","D",NA,1,"control","A","LCO8A","2010"
"4445",4445,2010-07-08,"Jul","LC","O",8,"LCO8",NA,"20100708_LCO2_01_07","L",NA,1,"control","A","LCO8A","2010"
"4446",4446,2010-07-08,"Jul","LC","O",8,"LCO8",NA,"20100708_LCO2_01_08","D",NA,1,"control","A","LCO8A","2010"
"4447",4447,2010-07-08,"Jul","LC","O",8,"LCO8",NA,"20100708_LCO2_01_08","L",NA,7,"control","A","LCO8A","2010"
"4448",4448,2010-07-08,"Jul","LC","O",8,"LCO8",NA,"20100708_LCO2_01_09","D",8.3,1,"control","A","LCO8A","2010"
"4449",4449,2010-07-08,"Jul","LC","O",8,"LCO8",NA,"20100708_LCO2_01_09","L",8.2,1,"control","A","LCO8A","2010"
"4450",4450,2010-07-08,"Jul","LC","O",8,"LCO8",NA,"20100708_LCO2_01_09","L",6.8,1,"control","A","LCO8A","2010"
"4451",4451,2010-07-08,"Jul","LC","O",8,"LCO8",NA,"20100708_LCO2_01_09","L",5.7,1,"control","A","LCO8A","2010"
"4452",4452,2010-07-08,"Jul","LC","O",8,"LCO8",NA,"20100708_LCO2_01_09","L",4.2,1,"control","A","LCO8A","2010"
"4453",4453,2010-07-08,"Jul","LC","O",8,"LCO8",NA,"20100708_LCO2_01_09","L",5.2,1,"control","A","LCO8A","2010"
"4454",4454,2010-07-08,"Jul","LC","O",8,"LCO8",NA,"20100708_LCO2_01_09","L",8.3,1,"control","A","LCO8A","2010"
"4455",4455,2010-07-08,"Jul","LC","O",8,"LCO8",NA,"20100708_LCO2_01_09","L",7.4,1,"control","A","LCO8A","2010"
"4456",4456,2010-07-08,"Jul","LC","O",8,"LCO8",NA,"20100708_LCO2_01_09","L",7,1,"control","A","LCO8A","2010"
"4457",4457,2010-07-08,"Jul","LC","O",8,"LCO8",NA,"20100708_LCO2_01_09","L",8.8,1,"control","A","LCO8A","2010"
"4458",4458,2010-07-08,"Jul","LC","O",3,"LCO3",NA,"20100708_LCO3_01_01","D",NA,0,"control",NA,"LCO3","2010"
"4459",4459,2010-07-08,"Jul","LC","O",3,"LCO3",NA,"20100708_LCO3_01_01","L",14.1,1,"control",NA,"LCO3","2010"
"4460",4460,2010-07-08,"Jul","LC","O",3,"LCO3",NA,"20100708_LCO3_01_01","L",10.2,1,"control",NA,"LCO3","2010"
"4461",4461,2010-07-08,"Jul","LC","O",3,"LCO3",NA,"20100708_LCO3_01_01","L",15.5,1,"control",NA,"LCO3","2010"
"4462",4462,2010-07-08,"Jul","LC","O",3,"LCO3",NA,"20100708_LCO3_01_01","L",13.6,1,"control",NA,"LCO3","2010"
"4463",4463,2010-07-08,"Jul","LC","O",3,"LCO3",NA,"20100708_LCO3_01_01","L",10.9,1,"control",NA,"LCO3","2010"
"4464",4464,2010-07-08,"Jul","LC","O",3,"LCO3",NA,"20100708_LCO3_01_02","D",NA,0,"control",NA,"LCO3","2010"
"4465",4465,2010-07-08,"Jul","LC","O",3,"LCO3",NA,"20100708_LCO3_01_02","L",12.7,1,"control",NA,"LCO3","2010"
"4466",4466,2010-07-08,"Jul","LC","O",3,"LCO3",NA,"20100708_LCO3_01_02","L",9.4,1,"control",NA,"LCO3","2010"
"4467",4467,2010-07-08,"Jul","LC","O",3,"LCO3",NA,"20100708_LCO3_01_02","L",11.4,1,"control",NA,"LCO3","2010"
"4468",4468,2010-07-08,"Jul","LC","O",3,"LCO3",NA,"20100708_LCO3_01_02","L",10.5,1,"control",NA,"LCO3","2010"
"4469",4469,2010-07-08,"Jul","LC","O",3,"LCO3",NA,"20100708_LCO3_01_03","D",NA,0,"control",NA,"LCO3","2010"
"4470",4470,2010-07-08,"Jul","LC","O",3,"LCO3",NA,"20100708_LCO3_01_03","L",12.1,1,"control",NA,"LCO3","2010"
"4471",4471,2010-07-08,"Jul","LC","O",3,"LCO3",NA,"20100708_LCO3_01_03","L",11,1,"control",NA,"LCO3","2010"
"4472",4472,2010-07-08,"Jul","LC","O",3,"LCO3",NA,"20100708_LCO3_01_03","L",11.5,1,"control",NA,"LCO3","2010"
"4473",4473,2010-07-08,"Jul","LC","O",3,"LCO3",NA,"20100708_LCO3_01_03","L",16,1,"control",NA,"LCO3","2010"
"4474",4474,2010-07-08,"Jul","LC","O",3,"LCO3",NA,"20100708_LCO3_01_03","L",16.8,1,"control",NA,"LCO3","2010"
"4475",4475,2010-07-08,"Jul","LC","O",3,"LCO3",NA,"20100708_LCO3_01_03","L",7.6,1,"control",NA,"LCO3","2010"
"4476",4476,2010-07-08,"Jul","LC","O",3,"LCO3",NA,"20100708_LCO3_01_03","L",12.2,1,"control",NA,"LCO3","2010"
"4477",4477,2010-07-08,"Jul","LC","O",3,"LCO3",NA,"20100708_LCO3_01_04","D",NA,0,"control",NA,"LCO3","2010"
"4478",4478,2010-07-08,"Jul","LC","O",3,"LCO3",NA,"20100708_LCO3_01_04","L",23.5,1,"control",NA,"LCO3","2010"
"4479",4479,2010-07-08,"Jul","LC","O",3,"LCO3",NA,"20100708_LCO3_01_04","L",22.9,1,"control",NA,"LCO3","2010"
"4480",4480,2010-07-08,"Jul","LC","O",3,"LCO3",NA,"20100708_LCO3_01_04","L",15.5,1,"control",NA,"LCO3","2010"
"4481",4481,2010-07-08,"Jul","LC","O",3,"LCO3",NA,"20100708_LCO3_01_04","L",11,1,"control",NA,"LCO3","2010"
"4482",4482,2010-07-08,"Jul","LC","O",3,"LCO3",NA,"20100708_LCO3_01_04","L",20,1,"control",NA,"LCO3","2010"
"4483",4483,2010-07-08,"Jul","LC","O",3,"LCO3",NA,"20100708_LCO3_01_04","L",15.2,1,"control",NA,"LCO3","2010"
"4484",4484,2010-07-08,"Jul","LC","O",3,"LCO3",NA,"20100708_LCO3_01_04","L",14.8,1,"control",NA,"LCO3","2010"
"4485",4485,2010-07-08,"Jul","LC","O",3,"LCO3",NA,"20100708_LCO3_01_04","L",10,1,"control",NA,"LCO3","2010"
"4486",4486,2010-07-08,"Jul","LC","O",3,"LCO3",NA,"20100708_LCO3_01_05","D",NA,0,"control",NA,"LCO3","2010"
"4487",4487,2010-07-08,"Jul","LC","O",3,"LCO3",NA,"20100708_LCO3_01_05","L",11.6,1,"control",NA,"LCO3","2010"
"4488",4488,2010-07-08,"Jul","LC","O",3,"LCO3",NA,"20100708_LCO3_01_05","L",8.2,1,"control",NA,"LCO3","2010"
"4489",4489,2010-07-08,"Jul","LC","O",3,"LCO3",NA,"20100708_LCO3_01_05","L",12.1,1,"control",NA,"LCO3","2010"
"4490",4490,2010-07-08,"Jul","LC","O",3,"LCO3",NA,"20100708_LCO3_01_05","L",13.7,1,"control",NA,"LCO3","2010"
"4491",4491,2010-07-08,"Jul","LC","O",3,"LCO3",NA,"20100708_LCO3_01_05","L",60.4,1,"control",NA,"LCO3","2010"
"4492",4492,2010-07-08,"Jul","LC","O",3,"LCO3",NA,"20100708_LCO3_01_05","L",51.2,1,"control",NA,"LCO3","2010"
"4493",4493,2010-07-08,"Jul","LC","O",3,"LCO3",NA,"20100708_LCO3_01_06","D",NA,0,"control",NA,"LCO3","2010"
"4494",4494,2010-07-08,"Jul","LC","O",3,"LCO3",NA,"20100708_LCO3_01_06","L",NA,2,"control",NA,"LCO3","2010"
"4495",4495,2010-07-08,"Jul","LC","O",3,"LCO3",NA,"20100708_LCO3_01_07","D",NA,0,"control",NA,"LCO3","2010"
"4496",4496,2010-07-08,"Jul","LC","O",3,"LCO3",NA,"20100708_LCO3_01_07","L",NA,4,"control",NA,"LCO3","2010"
"4497",4497,2010-07-08,"Jul","LC","O",3,"LCO3",NA,"20100708_LCO3_01_08","D",54.3,1,"control",NA,"LCO3","2010"
"4498",4498,2010-07-08,"Jul","LC","O",3,"LCO3",NA,"20100708_LCO3_01_08","D",14,1,"control",NA,"LCO3","2010"
"4499",4499,2010-07-08,"Jul","LC","O",3,"LCO3",NA,"20100708_LCO3_01_08","L",9,1,"control",NA,"LCO3","2010"
"4500",4500,2010-07-08,"Jul","LC","O",3,"LCO3",NA,"20100708_LCO3_01_08","L",8.8,1,"control",NA,"LCO3","2010"
"4501",4501,2010-07-08,"Jul","LC","O",3,"LCO3",NA,"20100708_LCO3_01_08","L",5.4,1,"control",NA,"LCO3","2010"
"4502",4502,2010-07-08,"Jul","LC","O",3,"LCO3",NA,"20100708_LCO3_01_08","L",9.7,1,"control",NA,"LCO3","2010"
"4503",4503,2010-07-08,"Jul","LC","O",3,"LCO3",NA,"20100708_LCO3_01_08","L",7,1,"control",NA,"LCO3","2010"
"4504",4504,2010-07-08,"Jul","LC","O",3,"LCO3",NA,"20100708_LCO3_01_08","L",9.3,1,"control",NA,"LCO3","2010"
"4505",4505,2010-07-08,"Jul","LC","O",3,"LCO3",NA,"20100708_LCO3_01_08","L",12.4,1,"control",NA,"LCO3","2010"
"4506",4506,2010-07-08,"Jul","LC","O",3,"LCO3",NA,"20100708_LCO3_01_08","L",10,1,"control",NA,"LCO3","2010"
"4507",4507,2010-07-08,"Jul","LC","O",3,"LCO3",NA,"20100708_LCO3_01_08","L",8,1,"control",NA,"LCO3","2010"
"4508",4508,2010-07-08,"Jul","LC","O",3,"LCO3",NA,"20100708_LCO3_01_08","L",11.1,1,"control",NA,"LCO3","2010"
"4509",4509,2010-07-08,"Jul","LC","O",3,"LCO3",NA,"20100708_LCO3_01_08","L",16.3,1,"control",NA,"LCO3","2010"
"4510",4510,2010-07-08,"Jul","LC","O",3,"LCO3",NA,"20100708_LCO3_01_08","L",15.4,1,"control",NA,"LCO3","2010"
"4511",4511,2010-07-08,"Jul","LC","O",3,"LCO3",NA,"20100708_LCO3_01_08","L",19.5,1,"control",NA,"LCO3","2010"
"4512",4512,2010-07-08,"Jul","LC","O",3,"LCO3",NA,"20100708_LCO3_01_08","L",25,1,"control",NA,"LCO3","2010"
"4513",4513,2010-07-08,"Jul","LC","O",3,"LCO3",NA,"20100708_LCO3_01_08","L",17.4,1,"control",NA,"LCO3","2010"
"4514",4514,2010-07-08,"Jul","LC","O",3,"LCO3",NA,"20100708_LCO3_01_08","L",16.6,1,"control",NA,"LCO3","2010"
"4515",4515,2010-07-08,"Jul","LC","O",3,"LCO3",NA,"20100708_LCO3_01_08","L",15.9,1,"control",NA,"LCO3","2010"
"4516",4516,2010-07-08,"Jul","LC","O",3,"LCO3",NA,"20100708_LCO3_01_08","L",22,1,"control",NA,"LCO3","2010"
"4517",4517,2010-07-08,"Jul","LC","O",3,"LCO3",NA,"20100708_LCO3_01_08","L",20.6,1,"control",NA,"LCO3","2010"
"4518",4518,2010-07-08,"Jul","LC","O",3,"LCO3",NA,"20100708_LCO3_01_08","L",17.8,1,"control",NA,"LCO3","2010"
"4519",4519,2010-07-08,"Jul","LC","O",3,"LCO3",NA,"20100708_LCO3_01_08","L",19,1,"control",NA,"LCO3","2010"
"4520",4520,2010-07-08,"Jul","LC","O",3,"LCO3",NA,"20100708_LCO3_01_08","L",17.3,1,"control",NA,"LCO3","2010"
"4521",4521,2010-07-08,"Jul","LC","O",3,"LCO3",NA,"20100708_LCO3_01_08","L",15.8,1,"control",NA,"LCO3","2010"
"4522",4522,2010-07-08,"Jul","LC","O",3,"LCO3",NA,"20100708_LCO3_01_08","L",7.9,1,"control",NA,"LCO3","2010"
"4523",4523,2010-07-08,"Jul","LC","O",3,"LCO3",NA,"20100708_LCO3_01_08","L",18.3,1,"control",NA,"LCO3","2010"
"4524",4524,2010-07-08,"Jul","LC","O",3,"LCO3",NA,"20100708_LCO3_01_08","L",17.9,1,"control",NA,"LCO3","2010"
"4525",4525,2010-07-08,"Jul","LC","O",3,"LCO3",NA,"20100708_LCO3_01_08","L",13.2,1,"control",NA,"LCO3","2010"
"4526",4526,2010-07-08,"Jul","LC","O",3,"LCO3",NA,"20100708_LCO3_01_08","L",13.7,1,"control",NA,"LCO3","2010"
"4527",4527,2010-07-08,"Jul","LC","O",3,"LCO3",NA,"20100708_LCO3_01_09","D",NA,1,"control",NA,"LCO3","2010"
"4528",4528,2010-07-08,"Jul","LC","O",3,"LCO3",NA,"20100708_LCO3_01_09","L",NA,1,"control",NA,"LCO3","2010"
"4529",4529,2010-07-08,"Jul","LC","O",3,"LCO3",NA,"20100708_LCO3_01_10","D",NA,1,"control",NA,"LCO3","2010"
"4530",4530,2010-07-08,"Jul","LC","O",3,"LCO3",NA,"20100708_LCO3_01_10","L",NA,4,"control",NA,"LCO3","2010"
"4531",4531,2010-07-09,"Jul","CK","I",1,"CKI1","THRASHER/FREDRICK","20100709_CKI1_01_01","D",NA,0,"control",NA,"CKI1","2010"
"4532",4532,2010-07-09,"Jul","CK","I",1,"CKI1","THRASHER/FREDRICK","20100709_CKI1_01_01","L",NA,0,"control",NA,"CKI1","2010"
"4533",4533,2010-07-09,"Jul","CK","I",1,"CKI1","THRASHER/FREDRICK","20100709_CKI1_01_02","D",NA,1,"control",NA,"CKI1","2010"
"4534",4534,2010-07-09,"Jul","CK","I",1,"CKI1","THRASHER/FREDRICK","20100709_CKI1_01_02","L",NA,53,"control",NA,"CKI1","2010"
"4535",4535,2010-07-09,"Jul","CK","I",1,"CKI1","THRASHER/FREDRICK","20100709_CKI1_01_03","D",54.2,1,"control",NA,"CKI1","2010"
"4536",4536,2010-07-09,"Jul","CK","I",1,"CKI1","THRASHER/FREDRICK","20100709_CKI1_01_03","L",58.5,1,"control",NA,"CKI1","2010"
"4537",4537,2010-07-09,"Jul","CK","I",1,"CKI1","THRASHER/FREDRICK","20100709_CKI1_01_03","L",47.3,1,"control",NA,"CKI1","2010"
"4538",4538,2010-07-09,"Jul","CK","I",1,"CKI1","THRASHER/FREDRICK","20100709_CKI1_01_03","L",37,1,"control",NA,"CKI1","2010"
"4539",4539,2010-07-09,"Jul","CK","I",1,"CKI1","THRASHER/FREDRICK","20100709_CKI1_01_03","L",67.5,1,"control",NA,"CKI1","2010"
"4540",4540,2010-07-09,"Jul","CK","I",1,"CKI1","THRASHER/FREDRICK","20100709_CKI1_01_03","L",42,1,"control",NA,"CKI1","2010"
"4541",4541,2010-07-09,"Jul","CK","I",1,"CKI1","THRASHER/FREDRICK","20100709_CKI1_01_03","L",75.7,1,"control",NA,"CKI1","2010"
"4542",4542,2010-07-09,"Jul","CK","I",1,"CKI1","THRASHER/FREDRICK","20100709_CKI1_01_03","L",42.7,1,"control",NA,"CKI1","2010"
"4543",4543,2010-07-09,"Jul","CK","I",1,"CKI1","THRASHER/FREDRICK","20100709_CKI1_01_03","L",41.5,1,"control",NA,"CKI1","2010"
"4544",4544,2010-07-09,"Jul","CK","I",1,"CKI1","THRASHER/FREDRICK","20100709_CKI1_01_03","L",33.8,1,"control",NA,"CKI1","2010"
"4545",4545,2010-07-09,"Jul","CK","I",1,"CKI1","THRASHER/FREDRICK","20100709_CKI1_01_03","L",41.6,1,"control",NA,"CKI1","2010"
"4546",4546,2010-07-09,"Jul","CK","I",1,"CKI1","THRASHER/FREDRICK","20100709_CKI1_01_03","L",67.8,1,"control",NA,"CKI1","2010"
"4547",4547,2010-07-09,"Jul","CK","I",1,"CKI1","THRASHER/FREDRICK","20100709_CKI1_01_03","L",73.2,1,"control",NA,"CKI1","2010"
"4548",4548,2010-07-09,"Jul","CK","I",1,"CKI1","THRASHER/FREDRICK","20100709_CKI1_01_03","L",51.7,1,"control",NA,"CKI1","2010"
"4549",4549,2010-07-09,"Jul","CK","I",1,"CKI1","THRASHER/FREDRICK","20100709_CKI1_01_03","L",52,1,"control",NA,"CKI1","2010"
"4550",4550,2010-07-09,"Jul","CK","I",1,"CKI1","THRASHER/FREDRICK","20100709_CKI1_01_03","L",30.9,1,"control",NA,"CKI1","2010"
"4551",4551,2010-07-09,"Jul","CK","I",1,"CKI1","THRASHER/FREDRICK","20100709_CKI1_01_03","L",42.4,1,"control",NA,"CKI1","2010"
"4552",4552,2010-07-09,"Jul","CK","I",1,"CKI1","THRASHER/FREDRICK","20100709_CKI1_01_03","L",65.4,1,"control",NA,"CKI1","2010"
"4553",4553,2010-07-09,"Jul","CK","I",1,"CKI1","THRASHER/FREDRICK","20100709_CKI1_01_03","L",42.7,1,"control",NA,"CKI1","2010"
"4554",4554,2010-07-09,"Jul","CK","I",1,"CKI1","THRASHER/FREDRICK","20100709_CKI1_01_03","L",48.8,1,"control",NA,"CKI1","2010"
"4555",4555,2010-07-09,"Jul","CK","I",1,"CKI1","THRASHER/FREDRICK","20100709_CKI1_01_03","L",40.2,1,"control",NA,"CKI1","2010"
"4556",4556,2010-07-09,"Jul","CK","I",1,"CKI1","THRASHER/FREDRICK","20100709_CKI1_01_04","D",46,1,"control",NA,"CKI1","2010"
"4557",4557,2010-07-09,"Jul","CK","I",1,"CKI1","THRASHER/FREDRICK","20100709_CKI1_01_04","L",60.1,1,"control",NA,"CKI1","2010"
"4558",4558,2010-07-09,"Jul","CK","I",1,"CKI1","THRASHER/FREDRICK","20100709_CKI1_01_04","L",59.1,1,"control",NA,"CKI1","2010"
"4559",4559,2010-07-09,"Jul","CK","I",1,"CKI1","THRASHER/FREDRICK","20100709_CKI1_01_04","L",70.2,1,"control",NA,"CKI1","2010"
"4560",4560,2010-07-09,"Jul","CK","I",1,"CKI1","THRASHER/FREDRICK","20100709_CKI1_01_04","L",40.3,1,"control",NA,"CKI1","2010"
"4561",4561,2010-07-09,"Jul","CK","I",1,"CKI1","THRASHER/FREDRICK","20100709_CKI1_01_04","L",44.5,1,"control",NA,"CKI1","2010"
"4562",4562,2010-07-09,"Jul","CK","I",1,"CKI1","THRASHER/FREDRICK","20100709_CKI1_01_04","L",65.3,1,"control",NA,"CKI1","2010"
"4563",4563,2010-07-09,"Jul","CK","I",1,"CKI1","THRASHER/FREDRICK","20100709_CKI1_01_04","L",42.3,1,"control",NA,"CKI1","2010"
"4564",4564,2010-07-09,"Jul","CK","I",1,"CKI1","THRASHER/FREDRICK","20100709_CKI1_01_04","L",32.5,1,"control",NA,"CKI1","2010"
"4565",4565,2010-07-09,"Jul","CK","I",1,"CKI1","THRASHER/FREDRICK","20100709_CKI1_01_04","L",59.1,1,"control",NA,"CKI1","2010"
"4566",4566,2010-07-09,"Jul","CK","I",1,"CKI1","THRASHER/FREDRICK","20100709_CKI1_01_04","L",51.8,1,"control",NA,"CKI1","2010"
"4567",4567,2010-07-09,"Jul","CK","I",1,"CKI1","THRASHER/FREDRICK","20100709_CKI1_01_04","L",58,1,"control",NA,"CKI1","2010"
"4568",4568,2010-07-09,"Jul","CK","I",1,"CKI1","THRASHER/FREDRICK","20100709_CKI1_01_04","L",33.2,1,"control",NA,"CKI1","2010"
"4569",4569,2010-07-09,"Jul","CK","I",1,"CKI1","THRASHER/FREDRICK","20100709_CKI1_01_05","D",36.6,1,"control",NA,"CKI1","2010"
"4570",4570,2010-07-09,"Jul","CK","I",1,"CKI1","THRASHER/FREDRICK","20100709_CKI1_01_05","L",56.4,1,"control",NA,"CKI1","2010"
"4571",4571,2010-07-09,"Jul","CK","I",1,"CKI1","THRASHER/FREDRICK","20100709_CKI1_01_05","L",41.1,1,"control",NA,"CKI1","2010"
"4572",4572,2010-07-09,"Jul","CK","I",1,"CKI1","THRASHER/FREDRICK","20100709_CKI1_01_05","L",43.3,1,"control",NA,"CKI1","2010"
"4573",4573,2010-07-09,"Jul","CK","I",1,"CKI1","THRASHER/FREDRICK","20100709_CKI1_01_05","L",30.2,1,"control",NA,"CKI1","2010"
"4574",4574,2010-07-09,"Jul","CK","I",1,"CKI1","THRASHER/FREDRICK","20100709_CKI1_01_05","L",42,1,"control",NA,"CKI1","2010"
"4575",4575,2010-07-09,"Jul","CK","I",1,"CKI1","THRASHER/FREDRICK","20100709_CKI1_01_05","L",46.5,1,"control",NA,"CKI1","2010"
"4576",4576,2010-07-09,"Jul","CK","I",1,"CKI1","THRASHER/FREDRICK","20100709_CKI1_01_05","L",51.5,1,"control",NA,"CKI1","2010"
"4577",4577,2010-07-09,"Jul","CK","I",1,"CKI1","THRASHER/FREDRICK","20100709_CKI1_01_05","L",39,1,"control",NA,"CKI1","2010"
"4578",4578,2010-07-09,"Jul","CK","I",1,"CKI1","THRASHER/FREDRICK","20100709_CKI1_01_05","L",58.9,1,"control",NA,"CKI1","2010"
"4579",4579,2010-07-09,"Jul","CK","I",1,"CKI1","THRASHER/FREDRICK","20100709_CKI1_01_05","L",50.5,1,"control",NA,"CKI1","2010"
"4580",4580,2010-07-09,"Jul","CK","I",1,"CKI1","THRASHER/FREDRICK","20100709_CKI1_01_05","L",61.9,1,"control",NA,"CKI1","2010"
"4581",4581,2010-07-09,"Jul","CK","I",1,"CKI1","THRASHER/FREDRICK","20100709_CKI1_01_05","L",52.5,1,"control",NA,"CKI1","2010"
"4582",4582,2010-07-09,"Jul","CK","I",1,"CKI1","THRASHER/FREDRICK","20100709_CKI1_01_05","L",54.6,1,"control",NA,"CKI1","2010"
"4583",4583,2010-07-09,"Jul","CK","I",1,"CKI1","THRASHER/FREDRICK","20100709_CKI1_01_05","L",45.1,1,"control",NA,"CKI1","2010"
"4584",4584,2010-07-09,"Jul","CK","I",1,"CKI1","THRASHER/FREDRICK","20100709_CKI1_01_05","L",45.6,1,"control",NA,"CKI1","2010"
